,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Vila do Maio,40,CV,1553671925,72,15.13,-23.22,19.0,3.6
374,Kavieng,32,PG,1553630364,100,-2.57,150.8,28.5,3.12
375,Byron Bay,90,AU,1553629939,78,-28.65,153.62,22.0,5.7
376,West Bay,5,GB,1553666339,90,50.71,-2.76,6.11,1.0
377,Necochea,0,AR,1553681051,88,-38.55,-58.74,11.11,2.47
378,Tura,0,IN,1553644582,88,25.52,90.21,21.2,1.17
379,Ust-Karsk,48,RU,1553637139,37,52.71,118.82,-5.46,1.87
380,Kahului,20,US,1553617465,54,20.89,-156.47,26.0,7.7
381,Iraquara,68,BR,1553676637,94,-12.24,-41.62,20.6,2.52
382,Kitoy,0,RU,1553640718,42,52.6,103.9,-1.0,1.0
383,Hutchinson,1,US,1553603173,76,38.06,-97.93,14.44,3.6
384,Tigzirt,80,DZ,1553665024,74,36.57,4.2,11.11,2.24
385,Port Hedland,8,AU,1553638267,62,-20.31,118.58,31.0,2.6
386,Aksu,90,KZ,1553647199,93,52.04,76.93,2.0,2.0
387,Kokorevka,0,RU,1553657402,85,52.59,34.27,-4.0,1.0
388,Linxia,76,CN,1553641304,53,35.6,103.21,4.3,1.57
389,Chagoda,92,RU,1553656870,94,59.16,35.33,-1.71,2.92
390,Teya,20,MX,1553601298,78,21.05,-89.07,24.44,3.1
391,Panzhihua,0,CN,1553641807,40,26.59,101.72,21.67,2.72
392,Cururupu,44,BR,1553677309,97,-1.82,-44.87,23.95,1.27
393,Kochki,80,RU,1553646264,90,54.33,80.49,-1.46,4.32
394,Rapid City,1,US,1553604321,59,44.08,-103.23,11.11,1.5
395,Geraldton,75,CA,1553600276,46,49.72,-86.95,-1.0,6.2
396,Zykovo,20,RU,1553655845,83,55.24,40.35,-3.89,1.32
397,Olga,1,US,1553608094,42,34.11,-118.17,17.22,3.1
398,Huntington,1,US,1553597245,29,40.87,-73.43,5.0,4.1
399,Healdsburg,90,US,1553609142,71,38.61,-122.87,14.0,3.1
400,Ternate,75,PH,1553637407,52,14.29,120.72,32.0,4.1
401,Ahuimanu,40,US,1553617787,61,21.44,-157.84,27.0,4.6
402,Bathsheba,40,BB,1553594297,74,13.22,-59.52,26.0,8.7
403,Batagay-Alyta,0,RU,1553633518,77,67.8,130.41,-12.76,1.22
404,Price,1,US,1553606231,49,39.6,-110.81,9.0,2.6
405,Kokkola,0,FI,1553659513,85,63.84,23.13,-3.33,3.1
406,Botwood,40,CA,1553678989,67,49.14,-55.34,-8.0,4.6
407,Raudeberg,92,NO,1553663942,93,61.99,5.14,5.56,2.1
408,Mogadouro,0,PT,1553667540,35,41.34,-6.71,6.45,6.17
409,Bandarbeyla,92,SO,1553654231,100,9.49,50.81,26.0,1.62
410,Balkanabat,92,TM,1553652940,97,39.51,54.36,7.15,1.32
411,Banda Aceh,24,ID,1553643595,75,5.56,95.32,29.9,1.17
412,Bridgetown,5,CA,1553681496,67,44.84,-65.29,-1.11,1.0
413,Maldonado,40,UY,1553680094,77,-34.91,-54.96,16.0,1.5
414,Kenai,1,US,1553615268,56,60.55,-151.26,6.11,3.1
415,Pahrump,1,US,1553607533,12,36.21,-115.98,20.0,1.32
416,Fort Worth,1,US,1553603119,58,32.75,-97.33,17.22,4.6
417,Hambantota,0,LK,1553646996,79,6.12,81.12,29.0,5.1
418,Alamosa,1,US,1553605087,24,37.47,-105.87,9.0,4.6
419,Kichera,44,RU,1553639107,75,55.93,110.1,-9.56,1.17
420,Uray,0,RU,1553649761,77,60.13,64.8,-0.16,4.22
421,Cap Malheureux,75,MU,1553652899,94,-19.98,57.61,26.67,5.42
422,Karasburg,0,NA,1553662313,59,-28.01,18.75,13.35,1.72
423,Lucapa,76,AO,1553661632,94,-8.42,20.74,19.6,1.22
424,Sabya,24,YE,1553656003,96,16.19,43.1,19.8,1.37
425,Khandbari,0,NP,1553645275,66,27.38,87.21,0.05,0.22
426,Mildura,0,AU,1553632751,25,-34.18,142.16,24.44,3.6
427,Zhigansk,0,RU,1553635294,53,66.77,123.37,-13.76,2.87
428,Colac,0,AU,1553632457,46,-38.34,143.59,22.22,0.45
429,Gisborne,44,NZ,1553624193,49,-38.66,178.02,24.44,3.13
430,Chunskiy,36,RU,1553641609,54,56.08,99.63,-2.06,1.02
431,Barstow,1,US,1553604592,56,31.46,-103.39,20.0,10.3
432,Dukat,12,RS,1553660558,74,42.44,22.31,1.67,0.87
433,Hualmay,8,PE,1553598864,92,-11.1,-77.61,18.2,1.77
434,Brenham,1,US,1553602935,72,30.17,-96.4,18.0,3.82
435,Rapid Valley,1,US,1553604302,59,44.06,-103.15,11.11,1.5
436,Verkhnevilyuysk,0,RU,1553636273,61,63.45,120.31,-9.86,2.12
437,Veraval,90,FR,1553665541,93,49.65,0.71,5.0,1.0
438,Bulgan,0,MN,1553640926,35,48.81,103.53,-4.21,1.87
439,Nein,56,IL,1553657627,85,32.63,35.35,11.67,1.07
440,Campos Belos,88,BR,1553677882,97,-13.04,-46.77,20.95,2.02
441,Thinadhoo,48,MV,1553649019,100,0.53,72.93,28.45,2.47
442,Nemuro,75,JP,1553630992,69,43.32,145.57,1.0,6.2
443,Coquimbo,90,CL,1553683965,93,-29.95,-71.34,13.0,2.1
444,Sinnamary,92,GF,1553679173,91,5.38,-52.96,26.9,5.27
445,Husavik,36,CA,1553602658,97,50.56,-96.99,1.67,3.58
446,Tamandare,44,BR,1553597193,89,-8.28,-70.75,25.2,2.07
447,Kawalu,48,ID,1553640631,82,-7.38,108.21,25.1,1.32
448,Anshun,0,CN,1553640802,53,26.25,105.93,24.7,4.37
449,Kailua,40,US,1553617764,61,21.39,-157.74,27.0,4.6
450,Alihe,0,CN,1553636033,36,50.57,123.73,-2.56,2.97
451,Basco,1,US,1553601516,45,40.33,-91.2,7.78,3.6
452,Amuntai,24,ID,1553638893,81,-2.42,115.25,29.15,1.32
453,Gerga,40,RU,1553654412,93,42.35,47.96,2.0,3.0
454,Laizhou,0,CN,1553637266,37,37.18,119.93,19.8,7.02
455,Salinopolis,80,BR,1553677894,100,-0.61,-47.36,26.3,3.77
456,Newport,0,GB,1553666367,80,51.59,-3.0,5.0,2.1
457,Nabire,56,ID,1553634043,86,-3.36,135.5,24.6,0.52
458,Maceio,20,BR,1553675200,88,-9.67,-35.74,24.0,2.1
459,Tutoia,48,BR,1553676695,100,-2.76,-42.27,23.75,1.17
460,Singaparna,48,ID,1553640655,82,-7.35,108.11,25.1,1.32
461,Mokolo,0,CM,1553663096,34,10.74,13.8,18.85,2.32
462,Dong Hoi,8,VN,1553640756,92,17.48,106.6,26.05,3.62
463,Nehe,0,CN,1553635819,49,48.48,124.88,0.65,2.97
464,San Martin,75,US,1553608868,77,37.08,-121.61,16.67,4.1
465,Okhotsk,48,RU,1553631015,69,59.36,143.24,-1.41,1.67
466,Hohhot,0,CN,1553639179,14,40.81,111.65,12.0,2.0
467,Horana,5,LK,1553647244,62,6.72,80.06,29.0,2.6
468,Coronado,0,PA,1553599234,69,8.53,-79.9,27.0,8.42
469,Praia,8,BR,1553677247,87,-20.25,-43.81,15.35,2.47
470,Walvis Bay,24,NA,1553663276,87,-22.95,14.51,16.11,2.1
471,Tynda,64,RU,1553635631,49,55.15,124.74,-7.96,2.72
472,Novikovo,68,UA,1553657558,100,45.05,34.56,4.65,2.42
473,Redmond,40,US,1553608760,43,47.67,-122.12,11.11,3.6
474,De-Kastri,20,RU,1553631921,95,51.48,140.77,-4.56,5.12
475,Hefei,0,CN,1553638010,45,31.82,117.22,18.0,5.0
476,Frutal,92,BR,1553678474,70,-20.02,-48.93,25.1,0.92
477,Kidal,36,ML,1553665975,28,18.44,1.41,24.7,5.02
478,Artyom,64,RU,1553634198,25,43.36,132.19,3.0,5.0
479,Anzhero-Sudzhensk,0,RU,1553644869,58,56.08,86.02,-1.0,1.0
480,Mombetsu,75,JP,1553631500,90,44.35,143.35,0.0,8.7
481,Pointe-Noire,40,CG,1553663729,100,-4.8,11.85,25.0,2.1
482,Ancud,0,CL,1553684723,76,-41.87,-73.83,10.0,3.1
483,Pingliang,88,CN,1553640473,71,35.54,106.68,10.7,2.02
484,Batemans Bay,0,AU,1553630843,58,-35.71,150.18,21.67,3.58
485,Uribia,0,CO,1553597371,76,11.71,-72.27,25.1,6.37
486,Solano,44,PH,1553637270,52,16.52,121.18,25.95,1.52
487,Kampong Thum,8,KH,1553641222,63,12.71,104.89,30.8,3.72
488,Ulladulla,75,AU,1553630767,56,-35.36,150.48,21.11,3.1
489,Ambon,0,FR,1553666387,86,47.55,-2.56,7.22,4.6
490,Killam,80,CA,1553606151,94,52.79,-111.86,-0.66,2.42
491,Agua Dulce,100,MX,1553602550,89,18.14,-94.15,24.05,7.12
492,Los Llanos de Aridane,56,ES,1553670466,72,28.66,-17.92,17.0,1.0
493,San Isidro,20,PH,1553637160,70,16.74,121.63,27.4,2.02
494,Bhum,0,IN,1553648163,52,18.47,75.67,25.6,1.87
495,Poyarkovo,0,RU,1553634883,30,49.62,128.65,-1.71,6.37
496,Victor Harbor,20,AU,1553633617,49,-35.55,138.62,24.44,5.7
497,Solginskiy,88,RU,1553655329,97,61.05,41.34,-1.41,1.62
498,Toshkivka,92,UA,1553656492,97,48.78,38.58,5.1,1.77
499,Mishelevka,0,RU,1553640883,54,52.86,103.17,-0.96,1.62
500,Puerto Escondido,0,MX,1553603276,96,15.86,-97.07,29.25,7.47
501,Takhtamygda,32,RU,1553635951,41,54.1,123.57,-5.16,3.12
502,Glodeni,75,MD,1553659177,86,47.77,27.5,1.11,4.1
503,Goure,0,NE,1553663905,19,13.98,10.27,22.3,4.82
504,Mocuba,12,MZ,1553657817,91,-16.84,36.99,20.3,1.32
505,Cookeville,1,US,1553600226,41,36.16,-85.5,7.0,3.1
506,Cheremukhovo,56,RU,1553654395,90,56.23,46.23,0.2,3.92
507,Svetlogorsk,40,RU,1553651421,73,53.14,59.15,-4.0,4.0
508,Anadyr,90,RU,1553622492,92,64.73,177.51,-1.0,16.0
509,Clyde,0,NZ,1553626369,71,-45.19,169.32,14.44,2.12
510,San Ramon,80,NI,1553600614,78,12.92,-85.84,20.0,2.68
511,Fukuma,40,JP,1553634800,28,33.77,130.47,21.11,2.6
512,Ust-Nera,24,RU,1553630708,62,64.57,143.24,-10.61,1.17
513,Katima Mulilo,0,NA,1553660874,54,-17.5,24.28,21.05,3.02
514,Nan,20,TH,1553642136,55,18.78,100.78,32.0,2.1
515,Wukari,0,NG,1553664093,56,7.87,9.78,23.6,1.97
516,Zaozerne,56,UA,1553659919,81,51.37,23.94,0.35,10.42
517,The Valley,20,AI,1553595092,74,18.22,-63.06,26.0,5.7
518,Sola,0,FI,1553658093,85,62.78,29.36,-7.22,2.6
519,Ballachulish,92,GB,1553666679,92,56.68,-5.13,8.89,1.34
520,Abnub,0,EG,1553658721,61,27.27,31.15,7.5,1.42
521,Guerrero Negro,56,MX,1553607197,92,27.97,-114.04,15.2,3.07
522,Soyo,20,AO,1553663618,96,-6.13,12.37,23.45,1.32
523,Mareeba,48,AU,1553631792,66,-16.99,145.42,32.22,3.6
524,Fort Nelson,40,CA,1553608511,52,58.81,-122.69,5.0,1.5
525,Luena,12,AO,1553661865,93,-11.78,19.91,16.7,1.17
526,Bathurst,0,AU,1553630961,48,-33.42,149.58,23.89,2.17
527,Jolalpan,0,MX,1553603676,20,18.32,-98.85,27.22,3.13
528,Tual,76,ID,1553634725,100,-5.67,132.75,28.25,4.47
529,General Roca,0,AR,1553683180,36,-39.03,-67.58,17.0,3.1
530,Griffith,0,AU,1553631816,23,-34.29,146.06,24.0,4.1
531,Haines Junction,0,CA,1553611964,52,60.75,-137.51,0.6,0.87
532,Kharp,44,RU,1553649068,90,66.82,65.8,-3.41,5.22
533,Helong,32,CN,1553638360,76,25.94,116.13,22.5,2.97
534,Riosucio,40,CO,1553598256,88,5.42,-75.7,22.0,2.1
535,Manokwari,88,ID,1553634360,100,-0.87,134.08,27.45,4.22
536,Teodoro Sampaio,0,BR,1553679278,70,-22.53,-52.17,22.9,3.12
537,Alekseyevka,40,RU,1553653492,93,53.25,50.49,2.0,3.0
538,Borogontsy,0,RU,1553633723,61,62.67,131.17,-12.46,1.97
539,Marrakesh,75,MA,1553668037,82,31.63,-7.99,14.0,1.0
540,Weligama,0,LK,1553647166,88,5.97,80.42,27.95,2.52
541,Payo,80,ID,1553641692,100,-3.75,103.64,25.7,1.37
542,Dashitou,80,CN,1553635084,59,43.3,128.5,-1.21,2.07
543,Huarmey,8,PE,1553598984,90,-10.07,-78.15,17.6,1.42
544,Boralday,75,KZ,1553647461,43,43.36,76.86,11.0,1.52
545,Savantvadi,40,IN,1553648638,79,15.9,73.82,29.0,2.1
546,Katobu,44,ID,1553637171,88,-4.94,122.53,29.55,1.37
